Appid,游戏名称
65720,Arma 2: Private Military Company
65780,武装突袭：黄金版
65790,武装突袭：冷战突击
65800,地牢守护者
65930,调查局：幽浮解密
65980,文明：太空
67370,黑暗领域2
70000,恐龙降临日
70004,Dino D-Day SDK
70110,黑客进化：不为人知的危机
70300,弹弹跳跳闪避人
70600,百战天虫：终极伤害
70620,百战天虫：疯狂高尔夫
70640,百战天虫
70650,百战天虫：爆发
70660,百战天虫：弹珠
71340,索尼克世代
72730,Fallout New Vegas: Dead Money
72850,上古卷轴5：天际
73010,都市运输
73050,Magicka - Demo
90200,模拟农场2011
91100,空中狂飙
92200,Gundemonium系列合集
92210,日系竖版弹幕射击
92220,弹幕射击之GundeadliGne
92700,暗影捕获：幽灵行动
94300,造梦机器
95400,艾波与欧波
96000,小小星球大碰撞
96100,反重力场：扩展版
99300,变节行动
102400,尖端运筹大师
102600,兽人必须死
102840,闪克2
104600,传送门2：最后时刻
104900,猎户座：恐龙部落
105400,Fable III
105450,帝国时代3：完全典藏版
105600,泰拉瑞亚
107100,堡垒
107410,武装突袭3
107430,Arma X: Anniversary Edition
108200,车票之旅
108600,僵尸毁灭工程
108710,心灵杀手
108800,孤岛危机 2 - 极限版
110800,黑色洛城
112100,阿瓦登：黑暗城堡
113020,摩纳哥：你的就是我的
113200,以撒的结合
115320,虐杀原形2
200170,百战天虫：革命
200260,蝙蝠侠：阿卡姆之城年度版
200510,幽浮：未知敌人
200710,火炬之光2
200940,索尼克CD
200960,基因制造1
200980,基因制造2
200990,基因制造3
201000,基因制造4
201010,基因制造5
201310,X3：阿尔比恩序曲
201700,DiRT Showdown
201790,兽人必须死2
201809,Orcs Must Die! 2 - Soundtrack
201810,德军总部：新秩序
201830,侏罗纪公园
201870,刺客信条：启示录
202090,Magicka: Wizard Wars
202170,热血无赖
202200,银河文明2：终极版
202480,Skyrim Creation Kit
202750,心灵杀手：美国噩梦
202920,Total War: Shogun 2 - TEd
202930,Total War: Shogun 2 - Assembly Kit
202970,使命召唤：黑色行动2
202990,使命召唤9：黑色行动2
203140,杀手：赦免
203160,古墓丽影
203350,国王的恩赐：北方勇士
203770,十字军之王2
204030,神鬼寓言：失落之章
204100,马克思佩恩3
204120,乐高哈利波特：第5-7年
204240,桥
204360,城堡破坏者
204450,狂野西部：枪手
204630,荒野老城DX
204880,太阳帝国的原罪：反叛
205100,耻辱
205930,Hitman: Sniper Challenge
206020,阿佛纳姆4
206040,阿佛纳姆5
206060,阿佛纳姆6
206420,黑道圣徒4
206440,To the Moon《去月球》
206450,To the Moon Soundtrack
206610,3D转换
206980,War of the Roses Balance Beta
207140,极速奔跑者
207610,行尸走肉：第一季
207930,神圣堡垒
208140,无尽空间
208400,阿佛纳姆：陷阱逃生
208480,刺客信条3
208520,黑手党：黑帮之城
208610,Skullgirls ∞Endless Beta∞
208650,蝙蝠侠：阿卡姆骑士
209000,蝙蝠侠：阿卡姆起源
209080,伊卡罗斯之炮OL
209120,街头霸王X铁拳
209160,使命召唤：幽灵
209170,使命召唤10：幽灵
209540,强袭装甲零号
209650,使命召唤11：高级战争 黄金版
209660,使命召唤11：高级战争-黄金版
209670,表层指挥
209811,XCOM: Enemy Unknown Elite Soldier Pack
210770,幽闭圣地2
210840,Warlock - Master of the Arcane Demo
210970,见证者
211010,Alien Shooter 2 Conscription
211400,Deadlight
211420,DARK SOULS?: Prepare To Die Edition
211500,竞速空间：赛车体验
211740,Thief? II: The Metal Age
211820,星界边境
212480,索尼克全明星赛车：变形
212680,超越光速
212910,Call of Duty: Black Ops II - Zombies
213030,Penny Arcade's On the Rain-Slick Precipice of Darkness 3
213040,ORION: Prelude Dedicated Server
213120,Transformers: Fall of Cybertron
213330,乐高蝙蝠侠2
213670,南方公园：真理之杖
214170,Divine Divinity
214190,Minimum
214250,我还活着
214340,德波尼亚
214490,异形：隔离
214510,乐高：指环王
214950,全面战争：罗马2 - 帝皇版
215280,隐秘世界
215530,范海辛的奇妙冒险
215550,Zombie Playground?
215770,Shad'O
215790,Dream Pinball 3D
215930,Jagged Alliance 2 - Wildfire 
216110,Tiny Troopers
216250,Dead Island Riptide
217200,百战天虫：末日浩劫
217270,空手道
218020,Nethergate: Resurrection
218510,Planets Under Attack
218620,收获日2
218640,卢修斯
218660,iBomber Attack
218680,涂鸦冒险家：无限
218820,Mercenary Kings
219150,火线迈阿密
219540,Arma 2: Operation Arrowhead Beta (Obsolete)
219640,骑士：中世纪战争
219740,饥荒
219760,Beyond Divinity
219780,Divinity II: Developer's Cut
219950,NiGHTS into Dreams...
219990,恐怖黎明
220050,行尸走肉：生存本能
220090,The Journey Down: Chapter One
220200,坎巴拉太空计划
220240,孤岛惊魂3
220440,DmC：鬼泣
220740,混乱的德波尼亚
220820,僵尸车手 高清版
221040,生化危机6
221100,僵尸末日
221260,小小炼狱
221380,帝国时代2：高清版
221680,Rocksmith? 2014 Edition - Remastered
221910,史丹利的寓言
222180,Mushroom Men: Truffle Trouble 
222440,拳皇2002UM
222480,生化危机启示录
222730,造物主
222750,战争游戏：空地一体战
222860,Left 4 Dead 2 Dedicated Server
222880,叛乱
222900,Dead Island: Epidemic
222940,拳皇13
222980,Dead Pixels
223070,Torchlight II GUTS
223100,国土防线2：革命
223350,DayZ Server
223470,喋血街头2
223540,Left 4 Dead 2 Beta Authoring Tools
223850,3DMark
224060,死侍
224220,Pressure
224480,章鱼奶爸：致命捕捉
224580,Arma 2: DayZ Mod
224820,Super House of Dead Ninjas
224860,Arma Tactics
224960,古墓丽影1
224980,Tomb Raider: The Last Revelation
225000,Tomb Raider: Chronicles
225020,Tomb Raider (VI): The Angel of Darkness
225080,兄弟：双子传说
225140,Duke Nukem 3D: Megaton Edition
225260,野兽传奇
225300,Tomb Raider II
225320,Tomb Raider III: Adventures of Lara Croft
225540,正当防卫3
226620,Desktop Dungeons
226700,感染：生存故事
226840,奇迹时代3
227040,Left 4 Dead 2 Beta - Win32 Dedicated Server
227050,Left 4 Dead 2 Beta - Linux Dedicated Server
227080,Papo & Yo
227280,No Time to Explain
227300,欧洲卡车模拟2
227860,城堡故事
228200,英雄连
228260,堕落女巫：传奇英雄
228280,博德之门：增强版
228300,勿忘我
228380,撞车嘉年华
228540,The Showdown Effect Demo
228880,Ashes of the Singularity: Classic
230050,DLC Quest
230070,颓废年代
230170,Divinity: Dragon Commander Beta
230230,神性：原罪（经典）
230290,宇宙沙盘2
230350,FINAL FANTASY? XI: Ultimate Collection Seekers Edition ROW
230700,穆拉纳秘宝
231430,英雄连2
231740,Knights of Pen and Paper +1
232010,欧洲卡车模拟
232090,杀戮空间2
232150,Killing Floor 2 - SDK
232430,到家
232770,POSTAL
232890,要塞：十字军东征2
232930,Impire Demo
233030,March of the Eagles Demo
233130,影子武士
233310,Avadon 2: The Corruption
233450,监狱建筑师
233470,进化之地
233700,Sword of the Stars: The Pit
233720,外科手术模拟
233800,Arma 3 Tools
233840,Worms Clan Wars
233860,剑士
234080,恶魔城：暗影之王终极版
234140,疯狂的麦克斯
234270,圣殿春秋
234390,电子脉冲：易死版
234630,Project CARS
234650,暗影狂奔：归来
234670,火影忍者疾风传：究极忍者风暴3 完全爆发
235210,出击飞龙
235460,合金装备崛起：复仇
235520,The White Laboratory
235540,战锤：末世鼠疫
235600,细胞分裂6：黑名单
236090,尘埃：幸福的轨迹
236110,Dungeon Defenders II
236390,战争雷霆
236430,黑暗之魂2
236850,欧陆风云4
236870,杀手
237430,远征军：征服者
237470,Battle Worlds: Kronos
237930,晶体管
237990,旗帜的传说
238090,狙击精英3
238320,逃生
238370,魔能2
238430,传染病
238460,战斗砖块剧场
239030,请出示文件
239140,消逝的光芒
239160,Thief
239200,失忆症：猪猡的机器
239350,洞穴探险
239820,游戏发展国
240580,Worms Clan Wars Editor
240720,掘地求升 - 和班尼特福迪一起攻克难关
240760,废土2：导演剪辑版
240970,Half Minute Hero: The Second Coming
241260,福尔摩斯：罪与罚
241600,盗贼遗产
241620,Inquisitor
241930,中土世界：暗影魔多
242050,刺客信条4：黑旗
242150,Orcs Must Die 2 Workshop Tool
242700,不义联盟：人中之神终极版
242760,森林
242840,In Verbis Virtus
242860,凡尔登战役
242920,放逐之城
243120,Betrayer
243600,Teleglitch: Die More Edition - Demo
243800,燃油机车：极限版
243950,Divinity: Dragon Commander
243970,隐形公司
244070,Sid Meier's Ace Patrol
244160,家园：高清重制版合集
244210,神力科莎 Assetto Corsa
244450,战争之人：突击小队2
244730,Divekick
244850,太空工程师
245170,骷髅女孩
245300,Disney Epic Mickey 2
245620,海岛大亨5
245850,Don't Starve Mod Tools
246420,王国守卫战
246620,瘟疫公司：物竞天择
246900,内脏清洁工
247020,"Cook, Serve, Delicious!"
247080,节奏地牢
247120,Portal 2 Sixense Perceptual Pack
247430,杀手3：契约
247730,Nether
247750,The Stanley Parable Demo
247890,Europa Universalis IV Demo
247930,Sniper Elite: Zombie Army 2
248310,自由星球
248390,打造世界
248530,Depth Hunter 2: Deep Dive
248550,Megabyte Punch
248610,破门而入
248670,Worms Clan Wars - Speechbank Editor
248820,雨中冒险
249050,无尽地牢(2014)
249130,乐高漫威超级英雄
249860,Arma 3 Soundtrack
249990,强制
250180,合金弹头3
250400,生存指南
250500,Super Amazing Wagon Adventure
250520,轨道之下
250620,梦意杀机
250660,Bunny Must Die! Chelsea and the 7 Devils
250760,铲子骑士
250900,以撒的结合：重生
251060,战争游戏：红龙
251130,彩度战队
251150,英雄传说：空之轨迹FC
251270,尸体派对
251290,英雄传说：空之轨迹SC
251570,七日杀
252110,危险时空的恋人
252130,Divide by Sheep
252150,Grimm
