AppID,游戏名称,类型
223470,喋血街头2,Game
223540,Left 4 Dead 2 Beta Authoring Tools,Tool
223850,3DMark,Application
224060,死侍,Game
224220,Pressure,Game
224480,章鱼奶爸：致命捕捉,Game
224580,Arma 2: DayZ Mod,Game
224820,Super House of Dead Ninjas,Game
224860,Arma Tactics,Game
224960,古墓丽影1,Game
224980,Tomb Raider: The Last Revelation (1999),Game
225000,Tomb Raider: Chronicles (2000),Game
225020,Tomb Raider (VI): The Angel of Darkness (2003),Game
225080,兄弟：双子传说,Game
225140,Duke Nukem 3D: Megaton Edition,Game
225260,野兽传奇,Game
225300,Tomb Raider II,Game
225320,Tomb Raider III: Adventures of Lara Croft,Game
225540,正当防卫3,Game
226620,Desktop Dungeons,Game
226700,感染：生存故事,Game
226840,奇迹时代3,Game
227040,Left 4 Dead 2 Beta - Win32 Dedicated Server,Tool
227050,Left 4 Dead 2 Beta - Linux Dedicated Server,Tool
227080,Papo & Yo,Game
227280,No Time to Explain,Game
227300,欧洲卡车模拟2,Game
227860,城堡故事,Game
228200,英雄连,Game
228260,堕落女巫：传奇英雄,Game
228280,博德之门：增强版,Game
228300,勿忘我,Game
228380,撞车嘉年华,Game
228880,Ashes of the Singularity: Classic,Game
230050,DLC Quest,Game
230070,颓废年代,Game
230170,Divinity: Dragon Commander Beta,Game
230230,神性：原罪（经典）,Game
230270,N++,Game
230290,宇宙沙盘²,Game
230350,FINAL FANTASY® XI: Ultimate Collection Seekers Edition ROW,Game
230700,穆拉纳秘宝,Game
230820,兔子之夜,Game
231040,Beatbuddy: Tale of the Guardians,Game
231430,英雄连2,Game
231740,Knights of Pen and Paper +1,Game
232010,欧洲卡车模拟,Game
232090,杀戮空间2,Game
232150,Killing Floor 2 - SDK,Tool
232430,到家,Game
232770,POSTAL,Game
232890,要塞：十字军东征2,Game
233130,影子武士,Game
233310,Avadon 2: The Corruption,Game
233450,监狱建筑师,Game
233470,进化之地,Game
233700,Sword of the Stars: The Pit,Game
233720,外科手术模拟,Game
233800,Arma 3 Tools,Tool
233840,Worms Clan Wars,Game
233860,剑士,Game
